Aquinas,Big Rivers,D1A,NCR
Iowa Central CC,Big Rivers,D1A,NCR
Marian,Big Rivers,D1A,NCR
Principia,Big Rivers,D1A,NCR
Rio Grande,Big Rivers,D1A,NCR
Thomas More,Big Rivers,D1A,NCR
Wheeling,Big Rivers,D1A,NCR
Illinois,Big Ten,D1A,CRAA
Indiana,Big Ten,D1A,NCR
Michigan,Big Ten,D1A,NCR
Michigan State,Big Ten,D1A,CRAA
Notre Dame,Big Ten,D1A,NCR
Ohio State,Big Ten,D1A,CRAA
Purdue,Big Ten,D1A,NCR
Wisconsin,Big Ten,D1A,CRAA
American River,California,D1AA,CRAA
Arizona State,California,D1AA,CRAA
Cal Poly,California,D1A,CRAA
Chico State,California,D1AA,CRAA
Claremont,California,D1AA,CRAA
Fresno State,California,D1AA,CRAA
Long Beach State,California,D1A,CRAA
Nevada,California,D1AA,CRAA
Sacramento State,California,D1A,CRAA
San Diego,California,D1AA,CRAA
San Diego State,California,D1A,CRAA
San Francisco State,California,D1AA,CRAA
San Jose State,California,D1AA,CRAA
Santa Clara,California,D1A,CRAA
St. Mary's,California,D1A,CRAA
Stanford,California,D1AA,CRAA
UC Davis,California,D1A,CRAA
UC Santa Barbara,California,D1A,CRAA
UC Santa Cruz,California,D1A,CRAA
Central Florida,Florida,D1AA,CRAA
Eckerd,Florida,D1AA,CRAA
Florida,Florida,D1AA,CRAA
Florida Atlantic,Florida,D1AA,CRAA
Florida International,Florida,D1AA,CRAA
Florida State,Florida,D1AA,CRAA
North Florida,Florida,D1AA,CRAA
South Florida,Florida,D1AA,CRAA
St. Thomas,Florida,D1AA,CRAA
Iowa,Heart of America,D1AA,CRAA
Arkansas,Heart of America,D1AA,CRAA
Iowa State,Heart of America,D1AA,CRAA
Kansas,Heart of America,D1AA,CRAA
Kansas State,Heart of America,D1AA,CRAA
Minnesota,Heart of America,D1AA,CRAA
Missouri,Heart of America,D1AA,CRAA
Nebraska,Heart of America,D1AA,CRAA
Oklahoma State,Heart of America,D1AA,CRAA
Arkansas State,Independents,D1A,CRAA
Central Washington,Independents,D1A,CRAA
Drury,Independents,D1A,NCR
Grand Canyon,Independents,D1A,CRAA
Southern Nazarene,Independents,D1A,NCR
Trine,Independents,D1A,NCR
USC,Independents,D1AA,NCR
AIC,Liberty,D1A,NCR
Binghamton,Liberty,D1AA,NCR
Boston College,Liberty,D1AA,NCR
Brown,Liberty,D1A,NCR
Buffalo,Liberty,D1AA,NCR
Colgate,Liberty,D1AA,NCR
Columbia,Liberty,D1AA,NCR
Connecticut,Liberty,D1AA,NCR
Dartmouth,Liberty,D1A,NCR
Fairfield,Liberty,D1A,NCR
Fordham,Liberty,D1A,NCR
Harvard,Liberty,D1A,NCR
Iona,Liberty,D1A,NCR
Massachusetts,Liberty,D1AA,NCR
Nazareth,Liberty,D1A,NCR
Northeastern,Liberty,D1A,NCR
Rhode Island,Liberty,D1AA,NCR
Siena,Liberty,D1A,NCR
Stony Brook,Liberty,D1AA,NCR
Syracuse,Liberty,D1A,NCR
Yale,Liberty,D1AA,NCR
Dallas,Lonestar,D1AA,CRAA
Rice,Lonestar,D1AA,CRAA
Sam Houston State,Lonestar,D1AA,CRAA
Southern Methodist,Lonestar,D1AA,CRAA
St. Edward's,Lonestar,D1AA,CRAA
Texas State,Lonestar,D1AA,CRAA
UT San Antonio,Lonestar,D1AA,CRAA
Bowling Green,MAC,D1AA,NCR
Cincinnati,MAC,D1AA,NCR
Dayton,MAC,D1AA,NCR
IUPUI,MAC,D1AA,NCR
Louisville,MAC,D1AA,NCR
Ohio,MAC,D1AA,NCR
Pitt,MAC,D1AA,NCR
Western Michigan,MAC,D1AA,NCR
Delaware,Mid-Atlantic,D1AA,NCR
James Madison,Mid-Atlantic,D1AA,NCR
Maryland,Mid-Atlantic,D1AA,NCR
Penn,Mid-Atlantic,D1AA,NCR
Princeton,Mid-Atlantic,D1AA,NCR
Rowan,Mid-Atlantic,D1AA,NCR
Rutgers,Mid-Atlantic,D1AA,NCR
Salisbury,Mid-Atlantic,D1AA,NCR
St. Joseph's,Mid-Atlantic,D1AA,NCR
Temple,Mid-Atlantic,D1AA,NCR
Virginia Tech,Mid-Atlantic,D1AA,NCR
West Chester,Mid-Atlantic,D1AA,NCR
Adrian,Midwest,D1A,CRAA
Davenport,Midwest,D1A,CRAA
Lindenwood,Midwest,D1A,CRAA
McKendree,Midwest,D1A,CRAA
Boise State,Northwest,D1AA,CRAA
Oregon,Northwest,D1AA,CRAA
Oregon State,Northwest,D1AA,CRAA
Washington,Northwest,D1AA,CRAA
Western Washington,Northwest,D1AA,CRAA
Arizona,PAC,D1A,CRAA
California,PAC,D1A,CRAA
UCLA,PAC,D1A,CRAA
Utah,PAC,D1A,CRAA
Baylor,Red River,D1A,CRAA
North Texas,Red River,D1A,CRAA
Oklahoma,Red River,D1A,CRAA
Texas,Red River,D1A,CRAA
Texas A&M,Red River,D1A,CRAA
TCU,Red River,D1A,CRAA
Texas Tech,Red River,D1A,CRAA
Air Force,Rocky Mountain,D1A,CRAA
BYU,Rocky Mountain,D1A,CRAA
Colorado,Rocky Mountain,D1A,CRAA
Colorado State,Rocky Mountain,D1A,CRAA
Utah State,Rocky Mountain,D1A,CRAA
Utah Valley,Rocky Mountain,D1A,CRAA
Wyoming,Rocky Mountain,D1A,CRAA
Army,Rugby East,D1A,CRAA
Kutztown,Rugby East,D1A,NCR
Life,Rugby East,D1A,CRAA
Mary Washington,Rugby East,D1A,CRAA
Mount St. Mary's,Rugby East,D1A,CRAA
Navy,Rugby East,D1A,CRAA
Notre Dame College,Rugby East,D1A,NCR
Penn State,Rugby East,D1A,CRAA
Queens,Rugby East,D1A,NCR
St. Bonaventure,Rugby East,D1A,NCR
Southern Virginia,Rugby East,D1A,CRAA
Alabama,SCRC,D1AA,NCR
Auburn,SCRC,D1AA,NCR
Clemson,SCRC,D1AA,NCR
Georgia,SCRC,D1AA,NCR
Kennesaw State,SCRC,D1AA,NCR
Kentucky,SCRC,D1AA,NCR
LSU,SCRC,D1AA,NCR
South Carolina,SCRC,D1AA,NCR
Tennessee,SCRC,D1AA,NCR
Belmont Abbey,Southern,D1A,NCR
Citadel,Southern,D1AA,NCR
Lander,Southern,D1A,NCR
North Carolina,Southern,D1AA,NCR
North Carolina State,Southern,D1AA,NCR
UNC Charlotte,Southern,D1AA,NCR
Albany,,,
Abilene Christian,,,
Alderson Broaddus,,,
Angelo State,,,
Appalachian State,,,
Azusa Pacific,,,
Babson,,,
Benedictine,,,
Bloomsburg,,,
Brockport,,,
Bryant,,,
Bucknell,,,
Cal Maritime,,,
Cal State Fullerton,,,
California Lutheran,,,
Canisius,,,
Central College (Iowa),,,
Central Missouri,,,
Central Oregon,,,
Christendom,,,
Coastal Carolina,,,
College of Charleston,,,
Colorado Mesa,,,
Cornell,,,
Cortland,,,
Creighton,,,
Duke,,,
East Carolina,,,
Eastern Kentucky,,,
Elon,,,
Embry-Riddle,,,
Franciscan,,,
Frostburg State,,,
Furman,,,
Georgetown,,,
Gonzaga,,,
Grand Valley State,,,
Holy Cross,,,
Houston,,,
Howard,,,
Idaho,,,
IUP,,,
Kent State,,,
Lehigh,,,
LeTourneau,,,
Louisiana Tech,,,
Loyola Chicago,,,
Loyola Marymount,,,
Loyola University Maryland,,,
Memphis,,,
Merrimack,,,
Miami (OH),,,
Middle Tennessee,,,
MiraCosta,,,
Mississippi,,,
Mississippi State,,,
Montana State,,,
New Mexico,,,
Norco,,,
